2007-08 season:|Wed Dec 5 2007|at Sea|Seattle 95|LA Clippers 88  | | |
2007-08 season:|Thu Dec 6 2007|at Atl|Atlanta 90|Minnesota 89  | | |
2007-08 season:|Thu Dec 6 2007|at Dal|Denver 122|Dallas 109  | | |
2007-08 season:|Thu Dec 6 2007|at Por|Portland 112|Miami 106  | | |
2007-08 season:|Fri Dec 7 2007|at Phi|Philadelphia 101|New York 90  | | |
2007-08 season:|Fri Dec 7 2007|at Wsh|Phoenix 122|Washington 107  | | |
2007-08 season:|Fri Dec 7 2007|at Orl|Indiana 115|Orlando 109  | | |
2007-08 season:|Fri Dec 7 2007|at Det|Chicago 98|Detroit 91  | | |
2007-08 season:|Fri Dec 7 2007|at Bos|Boston 112|Toronto 84  | | |
2007-08 season:|Fri Dec 7 2007|at NJ|Houston 96|New Jersey 89  | | |
2007-08 season:|Fri Dec 7 2007|at NOH|NO Hornets 118|Memphis 116 (OT)| | |
2007-08 season:|Fri Dec 7 2007|at SA|San Antonio 104|Utah 98  | | |
2007-08 season:|Fri Dec 7 2007|at Sac|LA Clippers 97|Sacramento 87  | | |
2007-08 season:|Fri Dec 7 2007|at GS|Golden State 120|Miami 113  | | |
2007-08 season:|Fri Dec 7 2007|at Sea|Seattle 104|Milwaukee 98  | | |
2007-08 season:|Sat Dec 8 2007|at ChB|Cha Bobcats 96|Cleveland 93  | | |
2007-08 season:|Sat Dec 8 2007|at Atl|Atlanta 86|Memphis 78  | | |
2007-08 season:|Sat Dec 8 2007|at NY|Philadelphia 105|New York 77  | | |
2007-08 season:|Sat Dec 8 2007|at Min|Minnesota 100|Phoenix 93  | | |
2007-08 season:|Sat Dec 8 2007|at Chi|Boston 92|Chicago 81  | | |
2007-08 season:|Sat Dec 8 2007|at Dal|Dallas 125|Utah 117  | | |
2007-08 season:|Sat Dec 8 2007|at Den|Denver 101|Sacramento 97  | | |
2007-08 season:|Sun Dec 9 2007|at Tor|Toronto 93|Houston 80  | | |
2007-08 season:|Sun Dec 9 2007|at LAC|Miami 100|LA Clippers 94  | | |
2007-08 season:|Sun Dec 9 2007|at Det|Detroit 104|Cha Bobcats 85  | | |
2007-08 season:|Sun Dec 9 2007|at Por|Portland 117|Milwaukee 113 (OT)| | |
2007-08 season:|Sun Dec 9 2007|at Wsh|Washington 104|New Jersey 89  | | |
2007-08 season:|Sun Dec 9 2007|at NOH|NO Hornets 91|Seattle 88  | | |
2007-08 season:|Sun Dec 9 2007|at LAL|LA Lakers 123|Golden State 113  | | |
2007-08 season:|Mon Dec 10 2007|at Phi|Philadelphia 100|Houston 88  | | |
2007-08 season:|Mon Dec 10 2007|at Orl|Atlanta 98|Orlando 87  | | |
2007-08 season:|Mon Dec 10 2007|at NY|Dallas 99|New York 89  | | |
