bergmo01,1902,USA,NY,1972,185,73,R,R,1923-06-27,1939-09-01,bergmo01,-1,0.01858736059479554
berkmla01,1976,USA,TX,,220,73,B,L,1999-07-16,2013-09-17,berkmla01,-1,-1
bernaro01,1984,Curacao,,,210,74,L,L,2008-06-29,2014-09-28,bernaro01,-1,-1
bernato01,1956,P.R.,,,150,69,B,R,1979-07-13,1991-04-26,bernato01,-1,-1
berrada01,1956,USA,NJ,,180,72,R,R,1977-08-22,1987-10-04,berrada01,-1,-1
berrayo01,1925,USA,MO,2015,185,67,L,R,1946-09-22,1965-05-09,berrayo01,1972,0.8560606060606061
berrera01,1907,USA,WI,2007,170,69,R,R,1934-04-24,1945-09-30,berrera01,-1,-1
berroan01,1978,D.R.,Distrito Nacional,,195,72,R,R,2001-09-18,2009-08-06,berroan01,-1,-1
berroge01,1965,D.R.,Distrito Nacional,,165,72,R,R,1989-04-05,2000-05-30,berroge01,-1,-1
berrych02,1902,USA,NJ,1972,185,72,R,R,1925-06-15,1938-09-08,berrych02,-1,0.011278195488721804
berryda01,1963,USA,CA,,205,72,B,R,1987-09-05,1997-09-28,berryda01,-1,-1
berryke01,1941,USA,MO,,175,72,R,R,1962-09-09,1975-05-31,berryke01,-1,0.0
berryne01,1922,USA,MI,2016,168,70,R,R,1948-04-20,1954-05-11,berryne01,-1,-1
berryse01,1966,USA,CA,,200,71,R,R,1990-09-17,2000-07-24,berryse01,-1,-1
bertedi01,1935,USA,IL,1999,200,72,R,R,1960-09-22,1967-04-12,bertedi01,-1,-1
bertore01,1935,Italy,Friuli-Venezia Giulia,2011,185,71,R,R,1953-09-22,1962-04-28,bertore01,-1,-1
beschbo01,1884,USA,OH,1942,200,73,B,L,1908-09-05,1918-09-01,beschbo01,-1,-1
betanyu01,1982,Cuba,Villa Clara,,205,70,R,R,2005-07-28,2013-09-29,betanyu01,-1,-1
betemwi01,1981,D.R.,Distrito Nacional,,220,74,B,R,2001-09-18,2013-09-12,betemwi01,-1,-1
bettsmo01,1992,USA,TN,,180,69,R,R,2014-06-29,2017-09-30,bettsmo01,-1,-1
betzebr01,1894,USA,OH,1965,158,69,R,R,1914-09-03,1918-09-02,betzebr01,-1,-1
bevacku01,1947,USA,FL,,180,72,R,R,1971-06-22,1985-10-06,bevacku01,-1,-1
bicheda01,1963,USA,FL,,215,75,R,R,1988-09-05,2001-10-06,bicheda01,-1,0.005504587155963303
bigbeca01,1895,USA,OR,1964,157,69,L,R,1916-08-24,1926-08-07,bigbeca01,-1,0.008264462809917356
bigbila01,1977,USA,IN,,190,76,L,R,2001-06-23,2006-06-04,bigbila01,-1,-1
biggicr01,1965,USA,NY,,185,71,R,R,1988-06-26,2007-09-30,biggicr01,2015,0.8269581056466302
biittla01,1946,USA,IA,,205,74,L,L,1970-07-17,1983-09-29,biittla01,-1,-1
bilarda01,1959,USA,CA,,185,72,R,R,1983-04-11,1992-10-04,bilarda01,-1,-1
bilkost01,1928,USA,PA,1978,230,73,R,R,1949-09-22,1962-08-23,bilkost01,-1,-1
billidi01,1942,USA,MI,,195,73,R,R,1968-09-11,1975-06-27,billidi01,-1,-1
binksge01,1914,USA,IL,2010,175,72,L,L,1944-09-23,1948-07-03,binksge01,-1,-1
birmijo01,1884,USA,NY,1946,185,70,R,R,1906-09-12,1914-07-25,birmijo01,-1,-1
bishoma01,1899,USA,PA,1962,165,68,L,R,1924-04-15,1935-09-21,bishoma01,-1,0.01858736059479554
bissode01,1899,USA,ME,1972,180,71,L,L,1928-04-11,1933-06-04,bissode01,-1,-1
blackch02,1986,USA,TX,,210,75,L,L,2011-06-07,2017-10-01,blackch02,-1,-1
blackle01,1886,USA,PA,1968,160,71,R,R,1910-04-14,1929-06-05,blackle01,-1,-1
blackti01,1952,USA,CA,,170,71,B,R,1974-07-03,1983-05-17,blackti01,-1,-1
bladera01,1896,USA,IL,1979,163,67,R,R,1922-08-19,1932-09-25,bladera01,-1,0.0037593984962406013
blairpa01,1944,USA,OK,2013,168,72,R,R,1964-09-09,1980-06-20,blairpa01,-1,0.018823529411764704
blairwa01,1883,USA,PA,1948,185,72,R,R,1907-09-17,1915-09-29,blairwa01,-1,-1
blakeca01,1973,USA,IA,,205,74,R,R,1999-08-14,2011-08-31,blakeca01,-1,0.0
blaloha01,1980,USA,CA,,192,73,L,R,2002-04-01,2010-06-27,blaloha01,-1,-1
blancan01,1984,Venezuela,Carabobo,,195,70,B,R,2004-04-17,2017-09-12,blancan01,-1,-1
blancgr01,1983,Venezuela,Distrito Federal,,175,71,L,L,2008-03-30,2017-10-01,blancgr01,-1,-1
blanche01,1971,Venezuela,Distrito Federal,,220,71,R,R,1997-07-25,2013-09-23,blanche01,-1,-1
